id,diamond_clarity,diamond_color,diamond_shape,carat_start,carat_end,factor
1,SI,IJ,Round,0.0,0.04,9.9
2,SI,IJ,Round,0.05,0.09,9.9
3,SI,IJ,Round,0.1,0.14,10.85
4,SI,IJ,Round,0.15,0.19,10.85
5,SI,IJ,Round,0.2,0.24,14.8
6,SI1,I,Round,0.25,0.29,14.8
7,SI1,J,Round,0.25,0.29,14.8
8,SI2,I,Round,0.25,0.29,14.8
9,SI2,J,Round,0.25,0.29,14.8
10,VS,GH,Round,0.0,0.04,13.65
11,VS,GH,Round,0.05,0.09,13.65
12,VS,GH,Round,0.1,0.14,14.95
13,VS,GH,Round,0.15,0.19,14.95
14,VS,GH,Round,0.2,0.24,20.4
15,VS1,G,Round,0.25,0.29,20.4
16,VS1,H,Round,0.25,0.29,20.4
17,VS2,G,Round,0.25,0.29,20.4
18,VS2,H,Round,0.25,0.29,20.4
19,VVS,EF,Round,0.0,0.04,15.8
20,VVS,EF,Round,0.05,0.09,15.8
21,VVS,EF,Round,0.1,0.14,17.3
22,VVS,EF,Round,0.15,0.19,17.3
23,VVS,EF,Round,0.2,0.24,23.6
24,VVS1,E,Round,0.25,0.29,23.6
25,VVS1,F,Round,0.25,0.29,23.6
26,VVS2,E,Round,0.25,0.29,23.6
27,VVS2,F,Round,0.25,0.29,23.6
28,IF,D,Round,0.3,0.39,40.0
29,VVS1,D,Round,0.3,0.39,31.0
30,VVS2,D,Round,0.3,0.39,30.0
31,VS1,D,Round,0.3,0.39,28.0
32,VS2,D,Round,0.3,0.39,27.0
33,SI1,D,Round,0.3,0.39,25.0
34,SI2,D,Round,0.3,0.39,22.0
35,SI3,D,Round,0.3,0.39,18.0
36,I1,D,Round,0.3,0.39,16.0
37,I2,D,Round,0.3,0.39,11.0
38,I3,D,Round,0.3,0.39,7.0
39,IF,E,Round,0.3,0.39,30.0
40,VVS1,E,Round,0.3,0.39,29.0
41,VVS2,E,Round,0.3,0.39,28.0
42,VS1,E,Round,0.3,0.39,27.0
43,VS2,E,Round,0.3,0.39,26.0
44,SI1,E,Round,0.3,0.39,24.0
