month,from,to,total,missing,missing_numbers
01-08-20,2,4,2,1,3
01-01-20,3,3,1,0,
01-11-20,13,14,2,0,
01-12-20,17,19,3,0,
01-01-21,20,23,4,0,
01-02-21,24,30,7,0,
01-03-21,31,33,3,0,
01-05-21,34,43,10,0,
01-06-21,44,50,7,0,
01-07-21,51,55,5,0,
01-08-21,56,59,4,0,
01-09-21,60,65,10,0,
01-10-21,66,68,3,0,
01-11-21,68,74,5,2,69 72
01-12-21,69,79,9,2,74 78
01-01-22,74,74,1,0,
01-02-22,75,78,4,0,
01-03-22,79,82,4,0,
01-04-22,83,91,9,0,
01-05-22,92,97,6,0,
01-06-22,98,99,2,0,
01-08-22,100,107,8,0,
01-09-22,108,113,6,0,
01-10-22,114,120,7,0,
01-11-22,121,123,3,0,
01-12-22,124,128,5,0,
01-01-23,129,130,2,0,
01-02-23,131,133,3,0,
01-03-23,136,140,5,0,
01-03-20,147,147,1,0,
01-04-23,148,148,1,0,
