invoice_number,invoice_date 
3,2020-01-16
4,2020-08-04
14,2020-11-30
19,2020-12-31
23,2021-01-10
30,2021-02-27
33,2021-03-26
43,2021-05-31
50,2021-06-24
55,2021-07-30
59,2021-08-26
65,2021-09-17
67,2021-10-06
68,2021-10-09
70,2021-11-24
71,2021-11-24
73,2021-11-24
73,2021-12-31
74,2021-11-24
75,2021-12-07
76,2021-12-08
77,2021-12-08
78,2022-02-16
79,2021-12-22
82,2022-03-03
91,2022-04-30
97,2022-05-31
99,2022-06-13
107,2022-08-04
113,2022-09-29
120,2022-10-20
123,2022-11-27
128,2022-12-31
130,2023-01-19
133,2023-02-28
147,2020-03-31
148,2023-04-20
