Rank,Company,Website
1,Apple,https://www.apple.com
2,Microsoft,https://www.microsoft.com
3,NVIDIA,https://www.nvidia.com
4,Amazon,https://www.amazon.com
5,Alphabet (Google),https://www.abc.xyz
6,Tesla,https://www.tesla.com
7,Meta Platforms,https://about.fb.com
8,Berkshire Hathaway,https://www.berkshirehathaway.com
9,Broadcom,https://www.broadcom.com
10,Eli Lilly,https://www.lilly.com
11,TSMC (Taiwan Semiconductor),https://www.tsmc.com
12,Saudi Aramco,https://www.aramco.com
13,Visa,https://www.visa.com
14,JPMorgan Chase,https://www.jpmorganchase.com
15,ExxonMobil,https://corporate.exxonmobil.com
16,Johnson & Johnson,https://www.jnj.com
17,UnitedHealth Group,https://www.unitedhealthgroup.com
18,Walmart,https://www.walmart.com
19,Samsung Electronics,https://www.samsung.com
20,Mastercard,https://www.mastercard.com
21,Linde,https://www.linde.com
22,ASML,https://www.asml.com
23,Novo Nordisk,https://www.novonordisk.com
24,Nestlé,https://www.nestle.com
25,Procter & Gamble,https://www.pg.com
26,Roche,https://www.roche.com
27,Coca-Cola,https://www.coca-colacompany.com
28,Pfizer,https://www.pfizer.com
29,Chevron,https://www.chevron.com
30,Siemens,https://www.siemens.com
31,Oracle,https://www.oracle.com
32,PepsiCo,https://www.pepsico.com
33,Unilever,https://www.unilever.com
34,Abbott Laboratories,https://www.abbott.com
35,Merck & Co.,https://www.merck.com
36,Toyota Motor,https://www.toyota.com
37,SAP,https://www.sap.com
38,Citigroup,https://www.citigroup.com
39,Comcast,https://corporate.comcast.com
40,Texas Instruments,https://www.ti.com
41,Novartis,https://www.novartis.com
42,Walt Disney Company,https://www.thewaltdisneycompany.com
43,McDonald’s,https://www.mcdonalds.com
44,AbbVie,https://www.abbvie.com
45,Intel,https://www.intel.com
46,IBM,https://www.ibm.com
47,Sony,https://www.sony.com
48,BHP Group,https://www.bhp.com
49,LVMH,https://www.lvmh.com
50,AT&T,https://www.att.com
51,Rio Tinto,https://www.riotinto.com
52,Honeywell,https://www.honeywell.com
53,Royal Dutch Shell,https://www.shell.com
54,Sanofi,https://www.sanofi.com
55,Airbus,https://www.airbus.com
56,GlaxoSmithKline,https://www.gsk.com
57,Volkswagen,https://www.volkswagen.com
58,Qualcomm,https://www.qualcomm.com
59,BP,https://www.bp.com
60,Danaher,https://www.danaher.com
61,Booking Holdings,https://www.bookingholdings.com
62,Verizon Communications,https://www.verizon.com
63,American Express,https://www.americanexpress.com
64,Philip Morris International,https://www.pmi.com
65,Costco Wholesale,https://www.costco.com
66,Goldman Sachs,https://www.goldmansachs.com
67,ABB,https://global.abb
68,CVS Health,https://www.cvshealth.com
69,Caterpillar,https://www.caterpillar.com
70,China Mobile,https://www.chinamobileltd.com
71,Anheuser-Busch InBev,https://www.ab-inbev.com
72,Schneider Electric,https://www.se.com
73,Bristol-Myers Squibb,https://www.bms.com
74,Union Pacific,https://www.up.com
75,Enel,https://www.enel.com
76,Deere & Company,https://www.deere.com
77,Morgan Stanley,https://www.morganstanley.com
78,Shopify,https://www.shopify.com
79,Lockheed Martin,https://www.lockheedmartin.com
80,Inditex,https://www.inditex.com
81,American Tower,https://www.americantower.com
82,UBS,https://www.ubs.com
83,Starbucks,https://www.starbucks.com
84,Glencore,https://www.glencore.com
85,Prudential plc,https://www.prudentialplc.com
86,AIA Group,https://www.aia.com
87,Prudential Financial,https://www.prudential.com
88,Sumitomo Mitsui Financial Group,https://www.smfg.co.jp
89,China Construction Bank,https://www.ccb.com
90,AstraZeneca,https://www.astrazeneca.com
91,Mondelez International,https://www.mondelezinternational.com
92,Elevance Health,https://www.elevancehealth.com
93,Nestle S.A.,https://www.nestle.com
94,SoftBank Group,https://www.softbank.jp
95,Fiserv,https://www.fiserv.com
96,General Electric,https://www.ge.com
97,Ferrari,https://www.ferrari.com
98,Target,https://www.target.com
99,Kweichow Moutai,https://www.moutaichina.com
100,Heineken,https://www.theheinekencompany.com
